Ngày ,Giá đóng cửa,Giá mở cửa,Giá cao nhất,Giá thấp nhất
5/12/2024,"40,850","40,800","41,000","40,300"
4/12/2024,"40,000","40,400","40,400","39,800"
3/12/2024,"40,400","40,400","40,600","40,250"
2/12/2024,"40,350","40,550","40,950","40,300"
29/11/2024,"40,500","40,650","40,750","40,500"
28/11/2024,"40,700","41,100","41,200","40,700"
27/11/2024,"40,750","41,050","41,050","40,750"
26/11/2024,"41,050","41,000","41,300","41,000"
25/11/2024,"41,000","40,450","41,000","40,450"
22/11/2024,"40,450","40,350","40,850","40,300"
21/11/2024,"40,350","40,350","40,600","40,300"
20/11/2024,"40,350","40,200","40,650","40,150"
19/11/2024,"40,350","40,400","40,700","40,350"
18/11/2024,"40,400","40,550","40,850","40,350"
15/11/2024,"40,550","40,650","41,050","40,550"
14/11/2024,"40,700","40,650","41,300","40,600"
13/11/2024,"40,600","40,850","41,150","40,500"
12/11/2024,"40,550","41,000","41,500","40,500"
11/11/2024,"40,800","41,050","41,150","40,650"
8/11/2024,"41,050","41,800","41,800","41,000"
7/11/2024,"41,700","42,000","42,250","41,700"
6/11/2024,"41,800","41,500","42,000","41,400"
5/11/2024,"41,300","41,200","41,300","41,050"
4/11/2024,"41,200","41,400","41,500","41,050"
1/11/2024,"41,200","41,550","41,600","41,100"
31/10/2024,"41,550","41,400","41,700","41,050"
30/10/2024,"41,000","41,450","41,700","40,800"
29/10/2024,"41,350","41,500","41,700","41,300"
28/10/2024,"41,450","41,600","41,750","41,450"
25/10/2024,"41,550","42,200","42,300","41,550"
24/10/2024,"42,050","43,000","43,100","42,050"
23/10/2024,"43,200","42,700","44,300","42,700"
22/10/2024,"42,200","42,600","42,600","42,200"
21/10/2024,"42,250","41,850","42,900","41,850"
18/10/2024,"41,800","41,700","42,200","41,700"
17/10/2024,"41,550","41,750","41,800","41,450"
16/10/2024,"41,500","41,500","41,800","41,450"
15/10/2024,"41,650","42,250","42,500","41,550"
14/10/2024,"42,150","42,500","43,400","42,150"
11/10/2024,"41,800","41,400","41,950","41,350"
10/10/2024,"41,400","41,600","41,650","41,300"
9/10/2024,"41,600","41,050","41,600","41,000"
8/10/2024,"40,900","41,050","41,050","40,600"
7/10/2024,"40,850","41,100","41,550","40,850"
4/10/2024,"41,000","41,350","41,350","40,900"
3/10/2024,"41,350","42,100","42,450","41,350"
2/10/2024,"42,050","42,350","42,400","42,050"
1/10/2024,"42,300","42,050","42,750","42,050"
30/09/2024,"42,000","42,400","42,600","42,000"
27/09/2024,"42,500","42,900","42,900","42,450"
26/09/2024,"42,600","42,600","43,100","42,600"
25/09/2024,"42,600","42,750","42,900","42,400"
24/09/2024,"42,550","42,400","42,650","42,350"
23/09/2024,"42,350","42,900","42,900","42,350"
20/09/2024,"42,300","43,000","43,650","42,300"
19/09/2024,"42,900","42,800","43,200","42,700"
18/09/2024,"42,650","42,900","43,300","42,650"
17/09/2024,"42,900","42,050","43,200","42,050"
16/09/2024,"42,050","42,700","43,600","42,050"
13/09/2024,"42,900","42,900","42,950","42,500"
12/9/2024,"42,900","43,050","43,250","42,550"
11/9/2024,"43,000","42,650","43,000","42,100"
10/9/2024,"43,000","43,700","43,900","42,600"
9/9/2024,"43,700","44,500","44,650","43,200"
6/9/2024,"44,650","44,950","45,850","44,600"
5/9/2024,"45,050","44,100","45,950","44,000"
4/9/2024,"44,200","41,150","44,300","41,150"
30/08/2024,"44,200","44,400","45,200","44,000"
29/08/2024,"44,200","44,100","44,800","44,050"
28/08/2024,"44,400","46,900","46,900","44,000"
27/08/2024,"45,100","41,650","45,100","41,450"
26/08/2024,"42,200","41,550","42,300","41,550"
23/08/2024,"41,550","41,350","42,900","41,350"
22/08/2024,"41,550","38,950","42,350","38,950"
21/08/2024,"41,850","41,300","42,000","41,250"
20/08/2024,"41,700","40,300","42,150","40,300"
19/08/2024,"41,150","40,800","42,500","40,800"
16/08/2024,"41,150","40,800","41,600","40,800"
15/08/2024,"40,950","40,800","41,150","40,700"
14/08/2024,"40,900","40,800","41,200","40,750"
13/08/2024,"40,700","40,600","41,200","40,600"
12/8/2024,"40,600","40,300","41,200","40,300"
9/8/2024,"41,200","41,800","42,000","41,000"
8/8/2024,"44,000","42,400","44,000","41,300"
7/8/2024,"42,350","41,000","44,150","40,850"
6/8/2024,"41,300","38,450","42,700","38,450"
5/8/2024,"41,300","41,000","42,300","39,100"
2/8/2024,"42,000","42,150","42,200","40,800"
1/8/2024,"42,100","42,100","42,300","41,500"
31/07/2024,"42,300","42,300","42,300","41,550"
30/07/2024,"42,200","41,950","42,200","41,000"
29/07/2024,"41,600","41,600","41,600","40,750"
26/07/2024,"41,600","41,900","42,150","41,250"
25/07/2024,"41,600","41,300","42,600","40,850"
24/07/2024,"40,900","40,800","41,000","40,450"
23/07/2024,"40,850","40,750","40,850","40,400"
22/07/2024,"40,750","40,750","41,000","40,200"
19/07/2024,"40,750","40,700","41,100","40,300"
18/07/2024,"40,550","40,600","40,600","40,150"
17/07/2024,"40,600","41,000","41,000","40,150"
16/07/2024,"41,050","41,350","41,700","40,700"
15/07/2024,"41,350","41,750","42,250","41,300"
12/7/2024,"41,750","41,700","42,800","41,650"
11/7/2024,"41,100","40,900","41,750","40,700"
10/7/2024,"40,600","40,950","40,950","40,600"
9/7/2024,"40,800","40,500","40,950","40,150"
8/7/2024,"40,400","41,400","41,400","40,350"
5/7/2024,"41,400","41,400","41,450","41,100"
4/7/2024,"41,400","41,500","41,700","41,300"
3/7/2024,"41,350","41,600","41,650","41,250"
2/7/2024,"41,600","41,400","41,750","41,300"
1/7/2024,"41,350","41,400","41,400","41,050"
28/06/2024,"41,200","41,100","41,350","40,900"
27/06/2024,"41,000","41,100","41,400","41,000"
26/06/2024,"41,200","41,300","41,700","41,150"
25/06/2024,"41,200","41,150","42,000","41,150"
24/06/2024,"41,100","41,650","42,300","41,100"
21/06/2024,"41,650","41,450","41,650","41,150"
20/06/2024,"41,450","41,550","41,800","41,350"
19/06/2024,"41,500","42,350","42,450","41,450"
18/06/2024,"42,100","42,300","42,950","42,100"
17/06/2024,"42,000","42,600","42,950","42,000"
14/06/2024,"42,000","43,200","43,250","42,000"
13/06/2024,"43,200","43,300","43,500","42,900"
12/6/2024,"43,300","42,800","43,500","42,500"
11/6/2024,"43,200","43,300","43,450","42,550"
10/6/2024,"43,450","43,500","43,900","43,400"
7/6/2024,"43,500","43,900","44,000","43,200"
6/6/2024,"43,700","44,300","44,350","43,700"
5/6/2024,"44,200","44,100","44,750","44,100"
4/6/2024,"44,100","44,300","44,550","44,000"
3/6/2024,"43,950","43,800","44,600","43,800"
31/05/2024,"43,550","43,500","44,600","43,300"
30/05/2024,"43,150","44,400","44,500","43,150"
29/05/2024,"44,400","45,050","45,200","44,250"
28/05/2024,"45,050","45,000","45,300","44,450"
27/05/2024,"45,050","44,950","45,250","44,450"
24/05/2024,"44,950","45,150","45,600","44,150"
23/05/2024,"45,550","45,250","45,900","44,750"
22/05/2024,"45,500","46,350","46,900","45,500"
21/05/2024,"46,450","47,000","47,700","46,450"
20/05/2024,"46,700","47,000","47,550","46,350"
17/05/2024,"46,850","46,750","46,900","46,250"
16/05/2024,"46,750","46,600","47,150","46,200"
15/05/2024,"46,350","46,200","46,750","46,000"
14/05/2024,"46,050","48,100","48,100","46,050"
13/05/2024,"45,000","45,300","45,350","44,350"
10/5/2024,"45,000","45,400","45,700","44,500"
9/5/2024,"45,400","45,400","46,000","45,050"
8/5/2024,"45,400","45,100","45,400","44,300"
7/5/2024,"45,000","45,350","45,350","44,500"
6/5/2024,"44,750","44,450","44,750","43,850"
3/5/2024,"44,450","44,600","44,900","44,000"
2/5/2024,"44,400","44,000","44,400","43,600"
26/04/2024,"44,450","41,950","44,450","41,900"
25/04/2024,"42,000","41,700","42,350","41,300"
24/04/2024,"41,600","41,100","41,950","41,100"
23/04/2024,"41,000","42,450","42,450","41,000"
22/04/2024,"42,000","42,650","43,000","41,700"
19/04/2024,"42,600","43,600","44,000","42,600"
17/04/2024,"45,000","46,500","46,500","44,500"
16/04/2024,"46,400","47,000","47,000","44,650"
15/04/2024,"47,000","48,000","48,200","46,000"
12/4/2024,"48,450","48,350","48,700","48,150"
11/4/2024,"48,300","48,250","48,550","47,750"
10/4/2024,"48,500","47,700","48,650","47,650"
9/4/2024,"47,700","47,600","47,700","47,000"
8/4/2024,"47,700","48,000","48,000","47,350"
5/4/2024,"47,800","47,450","47,950","47,300"
4/4/2024,"47,850","47,250","47,950","47,250"
3/4/2024,"47,750","47,500","47,850","47,200"
2/4/2024,"47,800","47,000","47,900","46,500"
1/4/2024,"47,850","47,650","48,100","47,350"
29/03/2024,"47,650","47,850","47,900","47,300"
28/03/2024,"47,600","47,050","47,950","46,900"
27/03/2024,"47,050","47,050","47,300","46,700"
26/03/2024,"47,050","47,000","47,200","46,600"
25/03/2024,"46,850","46,600","47,400","46,150"
22/03/2024,"46,600","46,500","46,700","46,050"
21/03/2024,"46,500","46,500","46,850","45,900"
20/03/2024,"46,500","46,800","47,000","45,800"
19/03/2024,"47,000","46,200","47,300","45,600"
18/03/2024,"46,100","44,850","46,200","43,900"
15/03/2024,"44,400","45,900","46,000","44,400"
14/03/2024,"45,950","45,200","46,850","45,000"
13/03/2024,"45,000","44,250","45,000","44,100"
12/3/2024,"44,150","44,350","44,600","44,050"
11/3/2024,"44,350","44,900","45,250","44,350"
8/3/2024,"44,800","46,000","46,000","44,800"
7/3/2024,"45,600","45,600","45,850","45,350"
6/3/2024,"45,300","45,300","46,850","45,200"
5/3/2024,"45,300","45,200","45,500","45,000"
4/3/2024,"45,250","45,300","45,750","45,150"
1/3/2024,"45,250","45,000","45,600","44,850"
29/02/2024,"45,000","46,000","46,150","45,000"
28/02/2024,"45,600","45,900","46,400","45,250"
27/02/2024,"45,150","44,800","45,650","44,350"
26/02/2024,"44,600","45,350","45,750","44,300"
23/02/2024,"45,200","47,950","47,950","45,200"
22/02/2024,"47,600","47,250","47,700","47,000"
21/02/2024,"47,250","48,550","48,550","47,100"
20/02/2024,"48,500","48,000","49,350","47,900"
19/02/2024,"47,000","44,300","47,000","44,300"
16/02/2024,"43,950","42,550","44,150","42,500"
15/02/2024,"42,550","42,500","42,800","42,200"
7/2/2024,"42,400","42,300","42,400","42,000"
6/2/2024,"42,300","42,250","42,350","41,900"
5/2/2024,"42,200","42,200","42,200","41,800"
2/2/2024,"42,100","42,350","42,500","42,050"
1/2/2024,"42,350","42,450","42,500","42,050"
31/01/2024,"42,500","42,700","42,800","42,100"
30/01/2024,"42,700","42,650","42,800","42,500"
29/01/2024,"42,650","42,800","42,850","42,400"
26/01/2024,"42,800","42,700","43,000","42,650"
25/01/2024,"42,800","43,100","43,100","42,800"
24/01/2024,"43,150","43,200","43,250","42,900"
23/01/2024,"43,100","43,400","43,400","42,900"
22/01/2024,"43,300","43,500","43,500","43,150"
19/01/2024,"43,300","43,350","43,450","43,150"
18/01/2024,"43,350","43,000","43,500","43,000"
17/01/2024,"43,200","43,150","43,450","42,950"
16/01/2024,"43,150","43,000","43,250","42,850"
15/01/2024,"43,050","43,500","43,500","43,050"
12/1/2024,"43,000","43,500","43,500","42,700"
11/1/2024,"43,650","43,600","44,000","43,400"
10/1/2024,"43,600","43,900","44,050","43,200"
9/1/2024,"43,900","44,300","44,400","43,900"
8/1/2024,"44,350","44,450","44,750","44,100"
5/1/2024,"44,100","44,150","44,200","43,900"
4/1/2024,"44,150","44,150","44,400","43,800"
3/1/2024,"44,150","43,500","44,150","43,500"
2/1/2024,"44,000","44,950","44,950","44,000"
29/12/2023,"44,600","44,650","44,850","44,450"
28/12/2023,"44,450","43,600","44,600","43,600"
27/12/2023,"43,600","43,650","43,950","43,600"
26/12/2023,"43,550","43,400","43,750","43,350"
25/12/2023,"43,400","43,100","43,550","43,000"
22/12/2023,"43,150","43,200","43,350","42,750"
21/12/2023,"43,200","43,000","43,300","42,800"
20/12/2023,"43,250","42,950","43,450","42,850"
19/12/2023,"43,200","43,300","43,300","42,300"
18/12/2023,"43,200","43,700","43,950","43,050"
15/12/2023,"43,700","43,700","43,950","43,050"
14/12/2023,"43,800","43,950","44,050","43,450"
13/12/2023,"43,900","44,100","44,350","43,200"
12/12/2023,"44,250","44,050","44,400","44,000"
11/12/2023,"44,050","43,250","44,350","43,250"
8/12/2023,"42,950","42,600","43,050","42,550"
7/12/2023,"42,800","42,800","43,200","41,900"
6/12/2023,"42,800","42,500","43,000","42,500"
5/12/2023,"42,800","42,950","43,150","42,600"
4/12/2023,"42,950","42,100","43,000","42,100"
1/12/2023,"42,100","42,050","42,200","41,850"
30/11/2023,"41,750","42,500","42,850","41,750"
29/11/2023,"42,550","42,400","42,650","42,300"
28/11/2023,"42,400","41,850","42,500","41,600"
27/11/2023,"41,850","41,300","42,200","41,300"
24/11/2023,"41,350","41,350","41,500","40,600"
23/11/2023,"41,300","42,000","42,600","41,300"
22/11/2023,"42,000","42,950","43,000","41,850"
21/11/2023,"42,600","43,050","43,150","42,050"
20/11/2023,"42,700","40,900","42,800","40,900"
17/11/2023,"42,200","45,200","45,200","42,150"
16/11/2023,"45,100","45,400","45,400","44,850"
15/11/2023,"45,400","45,400","45,600","44,900"
14/11/2023,"44,950","44,950","45,500","44,500"
13/11/2023,"44,800","45,050","45,050","44,450"
10/11/2023,"44,950","45,000","45,200","44,400"
9/11/2023,"45,400","44,000","45,700","44,000"
8/11/2023,"43,000","41,900","43,050","41,600"
7/11/2023,"42,050","41,800","42,150","41,250"
6/11/2023,"42,100","41,950","42,300","41,650"
3/11/2023,"41,600","41,700","42,100","41,250"
2/11/2023,"41,450","40,500","41,500","39,650"
1/11/2023,"40,400","39,700","40,500","39,450"
31/10/2023,"40,500","41,050","41,550","40,450"
30/10/2023,"41,500","41,300","41,550","39,750"
